EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 START  : Begin date YYYYMMDD
 98-105 STOP   : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   START,    STOP,PARID,PARNAME
  341,902407,MALUNG A                                ,SE,+60:40:59,+013:42:00, 305, DD4,19940717,20190430,    -,Synoptical message from GTS
  341,902410,MALUNG                                  ,SE,+60:40:59,+013:42:00, 308, DD4,19800101,20110817,    -,Synoptical message from GTS
  342,158079,GOTSKA SANDON                           ,SE,+58:24:00,+019:12:00,  11, DD4,19470101,20061231,   56,Marcus Flarup                                     
  342,158242,GOTSKA SANDON A                         ,SE,+58:23:39,+019:11:51,  16, DD4,19951215,20190430,   56,Marcus Flarup                                     
  342,902584,GOTSKA SANDON                           ,SE,+58:24:00,+019:12:00,  11, DD4,19800113,20061231,    -,Synoptical message from GTS
  342,902589,GOTSKA SANDON                           ,SE,+58:24:00,+019:12:00,  17, DD4,20001024,20190430,    -,Synoptical message from GTS
  411,113599,MARKNESSE                               ,NL,+52:42:06,+005:53:15,  -3, DD1,19890101,20190430,   19,Ge Verver                                         
  411,906273,MARKNESSE AWS                           ,NL,+52:42:00,+005:52:59,  -3, DD4,19940522,20190430,    -,Synoptical message from GTS
  412,115608,ALICANTE                                ,ES,+38:22:21,-000:29:39,  81, DD5,19380901,20190430,   31,Antonio Mestre Barcelo                            
  412,908359,ALICANTE                                ,ES,+38:22:00,-000:30:00,  82, DD4,19890912,20190430,    -,Synoptical message from GTS
  413,113605,LAUWERSOOG                              ,NL,+53:24:42,+006:11:57,   3, DD1,19910318,20190430,   19,Ge Verver                                         
  413,906277,LAUWERSOOG AWS                          ,NL,+53:25:00,+006:12:00,   0, DD4,19940522,20190430,    -,Synoptical message from GTS
  414,119905,BURGOS-VILLAFRIA                        ,ES,+42:21:21,-003:37:57, 890, DD5,19610101,20190430,   31,Antonio Mestre Barcelo                            
  414,908075,BURGOS/VILLAFRIA                        ,ES,+42:21:00,-003:37:59, 890, DD4,19800101,20190430,    -,Synoptical message from GTS
  415,119932,CADIZ                                   ,ES,+36:30:03,-006:15:24,   1, DD5,19650108,20190430,   31,Antonio Mestre Barcelo                            
  415,908452,CADIZ, OBS.                             ,ES,+36:30:00,-006:16:00,   9, DD4,19820302,19870930,    -,Synoptical message from GTS
  416,120031,CIUDAD REAL                             ,ES,+38:59:21,-003:55:10, 628, DD5,19701101,20190430,   31,Antonio Mestre Barcelo                            
  416,120040,CIUDAD REAL (INSTITUTO)                 ,ES,+38:59:21,-003:55:42, 627, DD5,19610101,19700630,   31,Antonio Mestre Barcelo                            
  416,908348,CIUDAD REAL                             ,ES,+38:58:59,-003:55:00, 629, DD4,19800101,20190430,    -,Synoptical message from GTS
  417,120094,GRANADA                                 ,ES,+37:08:12,-003:37:53, 687, DD5,19410701,20190430,   31,Antonio Mestre Barcelo                            
  418,120139,HUELVA (RONDA DEL ESTE)                 ,ES,+37:16:48,-006:54:34,  19, DD5,19840601,20190430,   31,Antonio Mestre Barcelo                            
  418,120148,HUELVA                                  ,ES,+37:15:34,-006:56:57,  17, DD5,19510128,19840531,   31,Antonio Mestre Barcelo                            
  418,908383,HUELVA                                  ,ES,+37:16:59,-006:55:00,  20, DD4,19820302,20190430,    -,Synoptical message from GTS
  419,120157,HUESCA                                  ,ES,+42:04:59,-000:19:35, 541, DD5,19610101,20190430,   31,Antonio Mestre Barcelo                            
  419,908094,HUESCA/MONFLORITE                       ,ES,+42:04:59,-000:19:59, 554, DD4,19801016,20190430,    -,Synoptical message from GTS
  420,119707,A CORUNA                                ,ES,+43:22:01,-008:25:09,  58, DD5,19330924,20190430,   31,Antonio Mestre Barcelo                            
  420,908001,LA CORUNA                               ,ES,+43:22:00,-008:24:59,  67, DD4,19800101,20190430,    -,Synoptical message from GTS
  421,120319,MURCIA                                  ,ES,+38:00:10,-001:10:09,  61, DD5,19840401,20190430,   31,Antonio Mestre Barcelo                            
  421,120328,MURCIA/ALCANTARILLA                     ,ES,+37:57:28,-001:13:46,  85, DD5,19500101,20190430,   31,Antonio Mestre Barcelo                            
  422,120346,PAMPLONA (OBSERVATORIO)                 ,ES,+42:49:03,-001:38:11, 442, DD5,19670103,19680830,   31,Antonio Mestre Barcelo                            
  422,120355,PAMPLONA                                ,ES,+42:46:36,-001:39:00, 459, DD5,19811201,20190430,   31,Antonio Mestre Barcelo                            
  422,908085,PAMPLONA/NOAIN                          ,ES,+42:46:00,-001:37:59, 453, DD4,19820302,20190430,    -,Synoptical message from GTS
  423,120508,SEVILLA/SAN PABLO                       ,ES,+37:25:00,-005:52:45,  34, DD5,19600101,20190430,   31,Antonio Mestre Barcelo                            
  423,908391,SEVILLA/SAN PABLO                       ,ES,+37:25:00,-005:54:00,  31, DD4,19800101,20190430,    -,Synoptical message from GTS
  424,120517,SORIA                                   ,ES,+41:46:30,-002:28:59,1082, DD5,19610101,20190430,   31,Antonio Mestre Barcelo                            
