EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 DD   : Wind direction in degrees
30-34 Q_DD : quality code for DD (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CORDOBA AEROPUERTO, SPAIN (STAID: 337)
Blended and updated with sources:20049 908410 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   DD, Q_DD
   337, 20049,19600311,-9999,    9
   337, 20049,19600312,-9999,    9
   337, 20049,19600313,-9999,    9
   337, 20049,19600314,-9999,    9
   337, 20049,19600315,-9999,    9
   337, 20049,19600316,-9999,    9
   337, 20049,19600317,-9999,    9
   337, 20049,19600318,-9999,    9
   337, 20049,19600319,-9999,    9
   337, 20049,19600320,-9999,    9
   337, 20049,19600321,-9999,    9
   337, 20049,19600322,-9999,    9
   337, 20049,19600323,-9999,    9
   337, 20049,19600324,-9999,    9
   337, 20049,19600325,-9999,    9
   337, 20049,19600326,-9999,    9
   337, 20049,19600327,-9999,    9
   337, 20049,19600328,-9999,    9
   337, 20049,19600329,-9999,    9
   337, 20049,19600330,-9999,    9
   337, 20049,19600331,-9999,    9
   337, 20049,19600401,-9999,    9
   337, 20049,19600402,-9999,    9
   337, 20049,19600403,-9999,    9
   337, 20049,19600404,-9999,    9
   337, 20049,19600405,-9999,    9
   337, 20049,19600406,-9999,    9
   337, 20049,19600407,-9999,    9
   337, 20049,19600408,-9999,    9
   337, 20049,19600409,-9999,    9
   337, 20049,19600410,-9999,    9
   337, 20049,19600411,-9999,    9
   337, 20049,19600412,-9999,    9
   337, 20049,19600413,-9999,    9
   337, 20049,19600414,-9999,    9
   337, 20049,19600415,-9999,    9
   337, 20049,19600416,-9999,    9
   337, 20049,19600417,-9999,    9
   337, 20049,19600418,-9999,    9
   337, 20049,19600419,-9999,    9
   337, 20049,19600420,-9999,    9
   337, 20049,19600421,-9999,    9
   337, 20049,19600422,-9999,    9
   337, 20049,19600423,-9999,    9
   337, 20049,19600424,-9999,    9
   337, 20049,19600425,-9999,    9
   337, 20049,19600426,-9999,    9
   337, 20049,19600427,-9999,    9
   337, 20049,19600428,-9999,    9
   337, 20049,19600429,-9999,    9
   337, 20049,19600430,-9999,    9
   337, 20049,19600501,-9999,    9
   337, 20049,19600502,-9999,    9
   337, 20049,19600503,-9999,    9
   337, 20049,19600504,-9999,    9
   337, 20049,19600505,-9999,    9
   337, 20049,19600506,-9999,    9
   337, 20049,19600507,-9999,    9
   337, 20049,19600508,-9999,    9
   337, 20049,19600509,-9999,    9
   337, 20049,19600510,-9999,    9
   337, 20049,19600511,-9999,    9
   337, 20049,19600512,-9999,    9
   337, 20049,19600513,-9999,    9
   337, 20049,19600514,-9999,    9
   337, 20049,19600515,-9999,    9
   337, 20049,19600516,-9999,    9
   337, 20049,19600517,-9999,    9
   337, 20049,19600518,-9999,    9
   337, 20049,19600519,-9999,    9
   337, 20049,19600520,-9999,    9
   337, 20049,19600521,-9999,    9
   337, 20049,19600522,-9999,    9
   337, 20049,19600523,-9999,    9
   337, 20049,19600524,-9999,    9
   337, 20049,19600525,-9999,    9
   337, 20049,19600526,-9999,    9
   337, 20049,19600527,-9999,    9
   337, 20049,19600528,-9999,    9
   337, 20049,19600529,-9999,    9
   337, 20049,19600530,-9999,    9
   337, 20049,19600531,-9999,    9
   337, 20049,19600601,-9999,    9
   337, 20049,19600602,-9999,    9
   337, 20049,19600603,-9999,    9
   337, 20049,19600604,-9999,    9
   337, 20049,19600605,-9999,    9
   337, 20049,19600606,-9999,    9
   337, 20049,19600607,-9999,    9
   337, 20049,19600608,-9999,    9
   337, 20049,19600609,-9999,    9
   337, 20049,19600610,-9999,    9
   337, 20049,19600611,-9999,    9
   337, 20049,19600612,-9999,    9
   337, 20049,19600613,-9999,    9
   337, 20049,19600614,-9999,    9
   337, 20049,19600615,-9999,    9
   337, 20049,19600616,-9999,    9
   337, 20049,19600617,-9999,    9
   337, 20049,19600618,-9999,    9
   337, 20049,19600619,-9999,    9
   337, 20049,19600620,-9999,    9
   337, 20049,19600621,-9999,    9
   337, 20049,19600622,-9999,    9
   337, 20049,19600623,-9999,    9
   337, 20049,19600624,-9999,    9
   337, 20049,19600625,-9999,    9
   337, 20049,19600626,-9999,    9
   337, 20049,19600627,-9999,    9
   337, 20049,19600628,-9999,    9
   337, 20049,19600629,-9999,    9
   337, 20049,19600630,-9999,    9
   337, 20049,19600701,-9999,    9
   337, 20049,19600702,-9999,    9
   337, 20049,19600703,-9999,    9
   337, 20049,19600704,-9999,    9
   337, 20049,19600705,-9999,    9
   337, 20049,19600706,-9999,    9
   337, 20049,19600707,-9999,    9
   337, 20049,19600708,-9999,    9
   337, 20049,19600709,-9999,    9
   337, 20049,19600710,-9999,    9
   337, 20049,19600711,-9999,    9
   337, 20049,19600712,-9999,    9
   337, 20049,19600713,-9999,    9
   337, 20049,19600714,-9999,    9
   337, 20049,19600715,-9999,    9
   337, 20049,19600716,-9999,    9
   337, 20049,19600717,-9999,    9
   337, 20049,19600718,-9999,    9
   337, 20049,19600719,-9999,    9
   337, 20049,19600720,-9999,    9
   337, 20049,19600721,-9999,    9
   337, 20049,19600722,-9999,    9
   337, 20049,19600723,-9999,    9
   337, 20049,19600724,-9999,    9
   337, 20049,19600725,-9999,    9
   337, 20049,19600726,-9999,    9
   337, 20049,19600727,-9999,    9
   337, 20049,19600728,-9999,    9
   337, 20049,19600729,-9999,    9
   337, 20049,19600730,-9999,    9
   337, 20049,19600731,-9999,    9
   337, 20049,19600801,-9999,    9
   337, 20049,19600802,-9999,    9
   337, 20049,19600803,-9999,    9
   337, 20049,19600804,-9999,    9
   337, 20049,19600805,-9999,    9
   337, 20049,19600806,-9999,    9
   337, 20049,19600807,-9999,    9
   337, 20049,19600808,-9999,    9
   337, 20049,19600809,-9999,    9
