EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 START  : Begin date YYYYMMDD
 98-105 STOP   : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   START,    STOP,PARID,PARNAME
  324,115672,LINDENBERG                              ,DE,+52:12:34,+014:07:13,  98, FX1,19670102,20190430,   11,National Climate Data Center (DWD)                
  324,910393,LINDENBERG                              ,DE,+52:13:00,+014:07:00, 104, FX4,20000228,20190430,    -,Synoptical message from GTS
  328,114630,TROMSO                                  ,NO,+69:39:14,+018:55:41, 100, FX5,19820101,20190430,   22,Hans Olav Hygen                                   
  328,901026,TROMSO                                  ,NO,+69:39:00,+018:55:59, 115, FX4,20000228,20190430,    -,Synoptical message from GTS
  329,114717,ONA II                                  ,NO,+62:51:34,+006:32:21,  13, FX5,19981101,20190430,   22,Hans Olav Hygen                                   
  329,901212,ONA II                                  ,NO,+62:52:00,+006:31:59,  15, FX4,20000228,20190430,    -,Synoptical message from GTS
  331,113549,TORUNGEN FYR                            ,NO,+58:22:59,+008:47:30,  12, FX5,20001101,20190430,   22,Hans Olav Hygen                                   
  331,901465,TORUNGEN LH                             ,NO,+58:24:00,+008:48:00,  15, FX4,20000228,20190430,    -,Synoptical message from GTS
  335,119888,BARCELONA -FABRA OBSERVATORY            ,ES,+41:25:05,+002:07:26, 412, FX1,19760601,20190331,   31,Antonio Mestre Barcelo                            
  335,155256,BARCELONA -FABRA OBSERVATORY            ,ES,+41:25:05,+002:07:26, 412, FX1,19830301,20140131,   63,Marc Prohom                                       
  336,119762,ALBACETE LOS LLANOS                     ,ES,+38:57:07,-001:51:47, 704, FX1,19600101,20190430,   31,Antonio Mestre Barcelo                            
  336,908280,ALBACETE/LOS LLANOS                     ,ES,+38:57:00,-001:51:00, 704, FX4,20000228,20140205,    -,Synoptical message from GTS
  337,120050,CORDOBA AEROPUERTO                      ,ES,+37:50:39,-004:50:45,  90, FX1,19590501,20190430,   31,Antonio Mestre Barcelo                            
  337,908410,CORDOBA/AEROPUERTO                      ,ES,+37:51:00,-004:51:00,  92, FX4,20000228,20180310,    -,Synoptical message from GTS
  356,115686,AACHEN                                  ,DE,+50:47:02,+006:05:42, 202, FX1,19520101,20110331,   11,National Climate Data Center (DWD)                
  356,910501,AACHEN                                  ,DE,+50:46:59,+006:06:00, 205, FX4,20040101,20110429,    -,Synoptical message from GTS
  411,113597,MARKNESSE                               ,NL,+52:42:06,+005:53:15,  -3, FX1,19890103,20190430,   19,Ge Verver                                         
  411,906273,MARKNESSE AWS                           ,NL,+52:42:00,+005:52:59,  -3, FX4,20000228,20190430,    -,Synoptical message from GTS
  412,115628,ALICANTE                                ,ES,+38:22:21,-000:29:39,  81, FX1,19380902,20190430,   31,Antonio Mestre Barcelo                            
  412,908359,ALICANTE                                ,ES,+38:22:00,-000:30:00,  82, FX4,20000228,20170511,    -,Synoptical message from GTS
  413,113603,LAUWERSOOG                              ,NL,+53:24:42,+006:11:57,   3, FX1,19910318,20190430,   19,Ge Verver                                         
  413,906277,LAUWERSOOG AWS                          ,NL,+53:25:00,+006:12:00,   0, FX4,20000228,20190430,    -,Synoptical message from GTS
  414,119906,BURGOS-VILLAFRIA                        ,ES,+42:21:21,-003:37:57, 890, FX1,19610101,20190430,   31,Antonio Mestre Barcelo                            
  414,908075,BURGOS/VILLAFRIA                        ,ES,+42:21:00,-003:37:59, 890, FX4,20000228,20190426,    -,Synoptical message from GTS
  415,119933,CADIZ                                   ,ES,+36:30:03,-006:15:24,   1, FX1,19740903,20190430,   31,Antonio Mestre Barcelo                            
  416,120032,CIUDAD REAL                             ,ES,+38:59:21,-003:55:10, 628, FX1,19750904,20190430,   31,Antonio Mestre Barcelo                            
  416,120041,CIUDAD REAL (INSTITUTO)                 ,ES,+38:59:21,-003:55:42, 627, FX1,19660101,19670310,   31,Antonio Mestre Barcelo                            
  416,908348,CIUDAD REAL                             ,ES,+38:58:59,-003:55:00, 629, FX4,20000228,20160720,    -,Synoptical message from GTS
  417,120095,GRANADA                                 ,ES,+37:08:12,-003:37:53, 687, FX1,19410301,20190430,   31,Antonio Mestre Barcelo                            
  418,120140,HUELVA (RONDA DEL ESTE)                 ,ES,+37:16:48,-006:54:34,  19, FX1,19840601,20190430,   31,Antonio Mestre Barcelo                            
  418,120149,HUELVA                                  ,ES,+37:15:34,-006:56:57,  17, FX1,19720404,19840531,   31,Antonio Mestre Barcelo                            
  418,908383,HUELVA                                  ,ES,+37:16:59,-006:55:00,  20, FX4,20000228,20190201,    -,Synoptical message from GTS
  419,120158,HUESCA                                  ,ES,+42:04:59,-000:19:35, 541, FX1,19610101,20190430,   31,Antonio Mestre Barcelo                            
  419,908094,HUESCA/MONFLORITE                       ,ES,+42:04:59,-000:19:59, 554, FX4,20020806,20130430,    -,Synoptical message from GTS
  420,119708,A CORUNA                                ,ES,+43:22:01,-008:25:09,  58, FX1,19331001,20190430,   31,Antonio Mestre Barcelo                            
  420,908001,LA CORUNA                               ,ES,+43:22:00,-008:24:59,  67, FX4,20000228,20190425,    -,Synoptical message from GTS
  421,120320,MURCIA                                  ,ES,+38:00:10,-001:10:09,  61, FX1,19840401,20190430,   31,Antonio Mestre Barcelo                            
  421,120329,MURCIA/ALCANTARILLA                     ,ES,+37:57:28,-001:13:46,  85, FX1,19610101,20190430,   31,Antonio Mestre Barcelo                            
  421,908430,MURCIA                                  ,ES,+38:00:00,-001:10:00,  62, FX4,20000228,20180324,    -,Synoptical message from GTS
  422,120356,PAMPLONA                                ,ES,+42:46:36,-001:39:00, 459, FX1,19811201,20190430,   31,Antonio Mestre Barcelo                            
  422,908085,PAMPLONA/NOAIN                          ,ES,+42:46:00,-001:37:59, 453, FX4,20000228,20190306,    -,Synoptical message from GTS
  423,120509,SEVILLA/SAN PABLO                       ,ES,+37:25:00,-005:52:45,  34, FX1,19600101,20190430,   31,Antonio Mestre Barcelo                            
  423,908391,SEVILLA/SAN PABLO                       ,ES,+37:25:00,-005:54:00,  31, FX4,20000228,20180302,    -,Synoptical message from GTS
