EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-05-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 46 STANAME: Station name
 48- 49 CN     : Country code (ISO3116 countrycodes)
 51- 59 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 61- 70 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 72- 76 HGTH   : Station elevation in meters

STAID,STANAME                                 ,CN,      LAT,       LON,HGHT
  601,VLIELAND                                ,NL,+53:14:24,+004:55:14,    4
  602,HOEK VAN HOLLAND                        ,NL,+51:59:27,+004:07:18,   11
  603,LEEUWARDEN                              ,NL,+53:13:23,+005:45:06,    0
  604,WOENSDRECHT                             ,NL,+51:26:52,+004:20:30,   14
  812,KAHLER ASTEN (WST)                      ,DE,+51:10:54,+008:29:24,  839
  942,KARASJOK-MARKANNJARGA                   ,NO,+69:27:48,+025:30:07,  131
  953,NESBYEN-TODOKK                          ,NO,+60:34:01,+009:08:00,  166
  955,SUOLOVUOPMI-LULIT                       ,NO,+69:34:46,+023:32:03,  381
  970,CASEMENT AERODROME                      ,IE,+53:18:21,-006:26:20,   94
 1042,LYNGOR FYR                              ,NO,+58:38:00,+009:09:01,    4
 1043,TVEITSUND                               ,NO,+59:01:37,+008:31:14,  252
 1044,LINDESNES FYR                           ,NO,+57:58:59,+007:02:53,   13
 1045,LISTA FYR                               ,NO,+58:06:36,+006:34:05,   14
 1046,SOLA                                    ,NO,+58:53:03,+005:38:12,    7
 1048,GARDERMOEN                              ,NO,+60:12:23,+011:04:49,  202
 1051,TAFJORD                                 ,NO,+62:14:00,+007:25:00,   15
 1056,SKROVA FYR                              ,NO,+68:09:01,+014:39:02,   11
 1057,BARDUFOSS                               ,NO,+69:03:32,+018:32:25,   76
 1058,SIHCCAJAVRI                             ,NO,+68:45:19,+023:32:18,  382
 1059,FRUHOLMEN FYR                           ,NO,+71:05:35,+023:59:42,   13
 1388,IZANA                                   ,ES,+28:18:32,-016:29:57, 2371
 1389,MELILLA                                 ,ES,+35:16:40,-002:57:19,   47
 1392,SANTANDER CENTRO                        ,ES,+43:27:52,-003:49:08,   64
 1393,BILBAO AEROPUERTO                       ,ES,+43:17:53,-002:54:20,   42
 1394,SANTIAGO DE COMPOSTELA/LABACOLLA        ,ES,+42:53:16,-008:24:38,  370
 1395,VIGO PEINADOR                           ,ES,+42:14:21,-008:37:26,  261
 1396,PONFERRADA                              ,ES,+42:33:50,-006:36:00,  534
 1397,LEON VIRGEN DEL CAMINO                  ,ES,+42:35:20,-005:38:57,  916
 1398,LOGRONO-AGONCILLO                       ,ES,+42:27:07,-002:19:51,  353
 1399,ZAMORA                                  ,ES,+41:31:00,-005:44:00,  656
 1401,REUS/AEROPUERTO                         ,ES,+41:08:58,+001:10:44,   71
 1404,MURCIA/SAN JAVIER                       ,ES,+37:47:20,-000:48:11,    4
 1405,JEREZ DE LA FRONTERA                    ,ES,+36:45:02,-006:03:20,   27
 1406,TARIFA                                  ,ES,+36:00:55,-005:35:51,   32
 1718,DUBLIN AIRPORT                          ,IE,+53:25:41,-006:14:27,   71
 1750,JOHNSTOWN CASTLE                        ,IE,+52:17:30,-006:30:00,   49
 1756,MARKREE CASTLE                          ,IE,+54:10:30,-008:27:21,   39
 2006,BROCKEN                                 ,DE,+51:48:00,+010:37:12, 1142
 2135,ROCHES POINT                            ,IE,+51:47:35,-008:14:38,   43
 2137,ROSSLARE                                ,IE,+52:15:00,-006:19:48,   23
 2138,KILKENNY                                ,IE,+52:40:12,-007:16:12,   63
 2139,SHANNON                                 ,IE,+52:41:24,-008:55:05,    6
 2140,CLAREMORRIS                             ,IE,+53:43:12,-008:58:48,   69
 2142,CLONES                                  ,IE,+54:10:48,-007:13:48,   87
 2143,BELMULLET                               ,IE,+54:13:48,-010:00:00,    9
 2216,SLETTNES FYR                            ,NO,+71:05:02,+028:13:04,    8
 2230,BERGEN/FLESLAND                         ,NO,+60:17:21,+005:13:35,   48
 2563,DEELEN                                  ,NL,+52:03:18,+005:52:19,   50
 2565,HOOGEVEEN                               ,NL,+52:44:56,+006:34:23,   15
 2566,EINDHOVEN                               ,NL,+51:26:58,+005:22:36,   22
 2569,TWENTHE                                 ,NL,+52:16:23,+006:53:26,   33
 2570,VALKENBURG                              ,NL,+52:10:13,+004:25:45,    0
 2571,WESTDORPE                               ,NL,+51:13:28,+003:51:39,    1
 2574,FOKSTUGU                                ,NO,+62:06:51,+009:17:13,  972
 2576,KONGSBERG BRANNSTASJON                  ,NO,+59:37:28,+009:38:16,  170
 2579,ROROS AIRPORT                           ,NO,+62:34:37,+011:21:06,  625
 2589,RYGGE                                   ,NO,+58:22:59,+010:47:17,   40
 2590,SARPSBORG                               ,NO,+59:17:08,+011:06:52,   57
 2600,TRYVASSHOGDA                            ,NO,+59:59:04,+010:40:09,  514
 2603,DREVSJO                                 ,NO,+61:53:13,+012:02:53,  672
 2605,KISE PA HEDMARK                         ,NO,+60:46:50,+010:48:42,  128
 2620,OSTRE TOTEN - APELSVOLL                 ,NO,+60:42:00,+010:52:00,  264
 2627,GULSVIK II                              ,NO,+60:22:58,+009:36:24,  142
 2640,GVARV - NES                             ,NO,+59:22:59,+009:12:05,   93
 2656,KJEVIK                                  ,NO,+58:12:01,+008:04:05,   12
 2669,OBRESTAD FYR                            ,NO,+58:39:33,+005:33:19,   24
