EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 START  : Begin date YYYYMMDD
 98-105 STOP   : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   START,    STOP,PARID,PARNAME
  168,113661,MAASTRICHT                              ,NL,+50:54:19,+005:45:42, 114, FG1,19060101,20190430,   19,Ge Verver                                         
  168,906380,BEEK/MAASTRICHT AP/MAASTRICHT AACHEN    ,NL,+50:55:00,+005:46:59, 116, FG5,19800101,20190430,    -,Synoptical message from GTS
  179,114766,BJOERNOEYA                              ,NO,+74:31:00,+019:01:00,  16, FG2,19100829,20190430,   22,Hans Olav Hygen                                   
  185,114667,SUOLOVUOPMI                             ,NO,+69:35:17,+023:31:54, 377, FG2,19631001,20041107,   22,Hans Olav Hygen                                   
  185,114670,SUOLOVUOPMI-LULIT                       ,NO,+69:34:46,+023:32:03, 381, FG2,20041101,20190430,   22,Hans Olav Hygen                                   
  185,901051,SUOLOVUOPMI                             ,NO,+69:34:59,+023:31:59, 374, FG5,19800101,20170709,    -,Synoptical message from GTS
  185,901058,SUOLOVUOPMI LULIT                       ,NO,+69:34:00,+023:31:59, 381, FG5,20060118,20190430,    -,Synoptical message from GTS
  186,114679,SVALBARD AIRPORT                        ,NO,+78:15:00,+015:28:00,  28, FG2,20090901,20190430,   22,Hans Olav Hygen                                   
  186,901008,SVALBARD AP                             ,NO,+78:15:00,+015:28:00,  29, FG5,19800101,20190430,    -,Synoptical message from GTS
  187,114676,HOPEN                                   ,NO,+76:30:00,+025:04:00,   6, FG2,19451016,20190430,   22,Hans Olav Hygen                                   
  187,901062,HOPEN                                   ,NO,+76:30:00,+025:04:00,  10, FG5,19800101,20190430,    -,Synoptical message from GTS
  189,114682,JAN MAYEN                               ,NO,+70:55:59,-008:40:00,  10, FG2,20090901,20190430,   22,Hans Olav Hygen                                   
  189,901001,JAN MAYEN                               ,NO,+70:55:59,-008:39:59,   9, FG5,19800101,20190430,    -,Synoptical message from GTS
  190,114655,KARASJOK                                ,NO,+69:28:00,+025:30:11, 129, FG2,18770101,20040831,   22,Hans Olav Hygen                                   
  190,114658,KARASJOK-MARKANNJARGA                   ,NO,+69:27:48,+025:30:07, 131, FG2,20040708,20190430,   22,Hans Olav Hygen                                   
  190,901065,KARASJOK                                ,NO,+69:28:00,+025:31:00, 133, FG5,19800101,20190430,    -,Synoptical message from GTS
  192,114643,FAERDER FYR                             ,NO,+59:01:36,+010:31:48,   6, FG2,19000101,20190430,   22,Hans Olav Hygen                                   
  192,901482,FERDER LH                               ,NO,+59:01:59,+010:31:59,   8, FG5,19800101,20190430,    -,Synoptical message from GTS
  193,114724,OSLO BLINDERN                           ,NO,+59:56:34,+010:43:14,  94, FG2,19510101,20190430,   22,Hans Olav Hygen                                   
  193,901492,OSLO-BLINDERN                           ,NO,+59:57:00,+010:43:00,  96, FG5,19810412,20190430,    -,Synoptical message from GTS
  194,114706,UTSIRA FYR                              ,NO,+59:18:28,+004:52:41,  55, FG2,20090901,20190430,   22,Hans Olav Hygen                                   
  194,901403,UTSIRA LH                               ,NO,+59:18:00,+004:52:59,  56, FG5,19800101,20190430,    -,Synoptical message from GTS
  195,114673,VARDOE                                  ,NO,+70:22:01,+031:05:04,  14, FG2,20090901,20190430,   22,Hans Olav Hygen                                   
  195,901098,VARDO                                   ,NO,+70:21:59,+031:06:00,  15, FG5,19800101,20190430,    -,Synoptical message from GTS
  196,113544,NESBYEN II                              ,NO,+60:34:00,+009:07:59, 165, FG2,19570101,19761031,   22,Hans Olav Hygen                                   
  196,113553,NESBYEN-SKOGLUND                        ,NO,+60:34:06,+009:07:18, 167, FG2,19770101,20040120,   22,Hans Olav Hygen                                   
  196,113556,NESBYEN-TODOKK                          ,NO,+60:34:01,+009:08:00, 166, FG2,20031121,20190430,   22,Hans Olav Hygen                                   
  196,901372,NESBYEN-SKOGLUND                        ,NO,+60:34:00,+009:07:59, 167, FG5,19800101,20160522,    -,Synoptical message from GTS
  196,901373,NESBYEN-TODOKK                          ,NO,+60:34:00,+009:07:59, 167, FG5,20090609,20190430,    -,Synoptical message from GTS
  227,116377,HURBANOVO                               ,SK,+47:52:00,+018:10:59, 115, FG1,19510103,20131231,   29,Oliver Bochnicek                                  
  227,911858,HURBANOVO                               ,SK,+47:52:00,+018:12:00, 124, FG5,19800101,20190430,    -,Synoptical message from GTS
  228,115553,LJUBLJANA BEZIGRAD                      ,SI,+46:03:56,+014:31:01, 299, FG4,19610101,20190430,   30,Tanja Cegnar                                      
  228,914015,LJUBLJANA/BEZIGRAD                      ,SI,+46:04:00,+014:31:00, 298, FG5,19960415,20190430,    -,Synoptical message from GTS
  229,115609,BADAJOZ/TALAVERA LA REAL                ,ES,+38:52:59,-006:49:45, 185, FG6,19550101,20190430,   31,Antonio Mestre Barcelo                            
  229,908330,BADAJOZ/TALAVERA LA REAL                ,ES,+38:52:59,-006:49:59, 192, FG5,19800225,20190430,    -,Synoptical message from GTS
  230,115611,MADRID - RETIRO                         ,ES,+40:24:42,-003:40:41, 667, FG6,19210101,20190203,   31,Antonio Mestre Barcelo                            
  230,120285,MADRID/CUATROVIENTOS                    ,ES,+40:22:40,-003:47:21, 687, FG6,19610101,20190430,   31,Antonio Mestre Barcelo                            
  231,115613,MALAGA AEROPUERTO                       ,ES,+36:40:00,-004:29:17,   7, FG6,19420501,20190430,   31,Antonio Mestre Barcelo                            
